"time";"prices";"quantities";"retID";"description";"retailer_code";"EAN_code";"category";"subcategory"
2024-12-21;3,05;243;"02-936";"ryż biały 4x100g  pp";246359;5904215121565;"RICE";"white rice"
2024-12-21;3,04;185;"01-460";"ryż halina 500g halina";41468;5906936678434;"RICE";"white rice"
2024-12-21;3,82;110;"02-127";"ryż biały 4x100g sonko";60409;5902180020104;"RICE";"white rice"
2024-12-21;3,82;236;"02-183";"ryż biały 4x100g sonko";60409;5902180020104;"RICE";"white rice"
2024-12-21;7,69;185;"01-460";"ryż halina 500g halina";41468;5906936678434;"RICE";"white rice"
2024-12-21;3,05;230;"02-183";"ryż biały 4x100g  pp";246359;5904215121565;"RICE";"white rice"
2024-12-21;6,32;36;"02-936";"ryż pełnoziarnisty 4x100g kupiec";10723;5906747171261;"RICE";"white rice"
2024-12-21;5,11;218;"02-936";"ryż biały 1kg  pp";473691;5904215130628;"RICE";"white rice"
2024-12-21;3,74;218;"02-936";"ryż biały 1kg  pp";473691;5904215130628;"RICE";"white rice"
2024-12-21;5,11;796;"01-460";"ryż biały 1kg  pp";473691;5904215130628;"RICE";"white rice"
2024-12-21;5,12;96;"02-127";"ryż biały 4x100g kupiec";175613;5902172000114;"RICE";"white rice"
2024-12-21;2,29;390;"01-460";"ryż biały 4x100g  pp";246359;5904215121565;"RICE";"white rice"
2024-12-21;5,11;284;"02-183";"ryż biały 1kg  pp";473691;5904215130628;"RICE";"white rice"
2024-12-21;6,02;37;"02-183";"ryż pełnoziarnisty 4x100g kupiec";10723;5906747171261;"RICE";"white rice"
2024-12-21;5;438;"01-460";"ryż biały 1kg  sonko";935940;5902180010211;"RICE";"white rice"
2024-12-21;5,02;20;"02-183";"ryz biały 500g cenos";138002;5900977001725;"RICE";"white rice"
2024-12-21;5,42;96;"02-127";"ryż biały 4x100g kupiec";175613;5902172000114;"RICE";"white rice"
2024-12-21;4,65;33;"01-460";"ryż okrągły 4x100g sonko";626894;5902180740101;"RICE";"white rice"
2024-12-21;4,12;113;"02-183";"ryż biały 4x100g britta";663823;5906936666936;"RICE";"white rice"
2024-12-21;9,42;21;"02-183";"ryż pełnoziarnisty 500g ben's";166039;5410673007766;"RICE";"white rice"
2024-12-21;6,42;34;"02-183";"ryż okrągły 4x100g sonko";626894;5902180740101;"RICE";"white rice"
2024-12-21;5,52;438;"01-460";"ryż biały 1kg  sonko";935940;5902180010211;"RICE";"white rice"
2024-12-21;5,52;169;"02-183";"ryż biały 1kg  sonko";935940;5902180010211;"RICE";"white rice"
2024-12-21;4,12;185;"01-460";"ryż halina 500g halina";41468;5906936678434;"RICE";"white rice"
2024-12-21;5,42;215;"01-460";"ryż biały 4x100g kupiec";175613;5902172000114;"RICE";"white rice"
2024-12-21;9,92;15;"02-127";"ryż pełnoziarnisty 500g ben's";166039;5410673007766;"RICE";"white rice"
2024-12-21;8,42;200;"01-460";"ryż biały 10x100g halina";130363;5906936000273;"RICE";"white rice"
2024-12-21;3,05;65;"02-127";"ryż biały 4x100g  pp";246359;5904215121565;"RICE";"white rice"
2024-12-21;4,12;30;"02-183";"ryż halina 500g halina";41468;5906936678434;"RICE";"white rice"
2024-12-21;17,22;29;"01-460";"ryż czarny pełnoziarnisty 500g gallo";530744;8001420002782;"RICE";"white rice"
2024-12-21;6,32;29;"02-127";"ryż pełnoziarnisty 4x100g kupiec";10723;5906747171261;"RICE";"white rice"
2024-12-21;3,82;140;"02-936";"ryż biały 4x100g sonko";60409;5902180020104;"RICE";"white rice"
2024-12-21;3,8;998;"01-460";"ryż biały 4x100g sonko";60409;5902180020104;"RICE";"white rice"
2024-12-21;4,02;140;"02-936";"ryż biały 4x100g sonko";60409;5902180020104;"RICE";"white rice"
2024-12-21;3,05;390;"01-460";"ryż biały 4x100g  pp";246359;5904215121565;"RICE";"white rice"
2024-12-21;5,02;106;"01-460";"ryz biały 500g cenos";138002;5900977001725;"RICE";"white rice"
2024-12-21;3,82;998;"01-460";"ryż biały 4x100g sonko";60409;5902180020104;"RICE";"white rice"
2024-12-21;3,74;796;"01-460";"ryż biały 1kg  pp";473691;5904215130628;"RICE";"white rice"
2024-12-21;4,02;110;"02-127";"ryż biały 4x100g sonko";60409;5902180020104;"RICE";"white rice"
2024-12-21;8,42;83;"02-183";"ryż biały 10x100g halina";130363;5906936000273;"RICE";"white rice"
2024-12-21;4,12;439;"01-460";"ryż biały 4x100g britta";663823;5906936666936;"RICE";"white rice"
2024-12-21;7,81;21;"02-183";"ryż biały 8x100g cenos";357709;5900977002159;"RICE";"white rice"
2024-12-21;6,02;150;"01-460";"ryż pełnoziarnisty 4x100g kupiec";10723;5906747171261;"RICE";"white rice"
2024-12-21;4,11;185;"01-460";"ryż halina 500g halina";41468;5906936678434;"RICE";"white rice"
2024-12-21;9,42;58;"01-460";"ryż pełnoziarnisty 500g ben's";166039;5410673007766;"RICE";"white rice"
2024-12-21;6,42;33;"01-460";"ryż okrągły 4x100g sonko";626894;5902180740101;"RICE";"white rice"
2024-12-21;5,42;64;"02-936";"ryż biały 4x100g kupiec";175613;5902172000114;"RICE";"white rice"
2024-12-21;6,92;169;"02-183";"ryż biały 1kg  sonko";935940;5902180010211;"RICE";"white rice"
2024-12-21;4,82;215;"01-460";"ryż biały 4x100g kupiec";175613;5902172000114;"RICE";"white rice"
2024-12-21;5,11;110;"02-127";"ryż biały 1kg  pp";473691;5904215130628;"RICE";"white rice"
2024-12-21;4,02;438;"01-460";"ryż biały 1kg  sonko";935940;5902180010211;"RICE";"white rice"
2024-12-21;6,92;438;"01-460";"ryż biały 1kg  sonko";935940;5902180010211;"RICE";"white rice"
